,index,timestamp,open,close,high,low,volume
0,0,2020-11-21 23:00,541.4,540.06,541.56,539.55,1379.27630333
1,1,2020-11-21 23:15,540.23,541.35,541.36,538.38,333.17287875
2,2,2020-11-21 23:30,541.36,547.12,548.28,540.75,2916.1462787
3,3,2020-11-21 23:45,547.10111025,551.19,551.69,545.0,5114.0060773
4,4,2020-11-22 00:00,551.42,554.28,555.0,549.39,3818.33822497
5,5,2020-11-22 00:15,554.27,557.21,559.48,552.23,6901.85114012
6,6,2020-11-22 00:30,556.78,555.72,560.14,554.29,2057.07721417
7,7,2020-11-22 00:45,555.73274686,548.77,556.52,540.87,5619.41371448
8,8,2020-11-22 01:00,548.76,544.4,552.88,542.23,2585.77121474
9,9,2020-11-22 01:15,544.69421158,548.83,550.38,541.57,1881.15757754
10,10,2020-11-22 01:30,549.08,537.75,549.08,535.67,6493.20532743
11,11,2020-11-22 01:45,537.75,540.96,541.82,535.16,1772.43163466
12,12,2020-11-22 02:00,541.0,542.05,544.28,539.96,611.2927139
13,13,2020-11-22 02:15,542.06,544.72,545.57,541.4,393.13047918
14,14,2020-11-22 02:30,544.63,546.48,547.94,544.48,432.8972478
15,15,2020-11-22 02:45,546.21,547.04,549.4,545.05,377.26001463
16,16,2020-11-22 03:00,547.26,546.51,548.03,544.39,551.14156495
17,17,2020-11-22 03:15,546.67,543.96,547.5,543.91,368.47260529
18,18,2020-11-22 03:30,544.0,547.24,547.61,544.0,353.32327891
19,19,2020-11-22 03:45,546.95,548.24,548.44,545.79,597.48018137
20,20,2020-11-22 04:00,547.80065223,544.1,548.23934804,544.06,199.32830244
21,21,2020-11-22 04:15,544.09,544.49,545.84,542.97,599.44177865
22,22,2020-11-22 04:30,544.74,546.91,547.0,544.74,584.58268409
23,23,2020-11-22 04:45,547.0,546.32,547.77,545.14,151.50450209
24,24,2020-11-22 05:00,546.06,544.33,546.12,544.27,548.06676981
25,25,2020-11-22 05:15,544.27,546.65055779,546.91,543.95909967,257.92103183
26,26,2020-11-22 05:30,546.75,543.7,546.88,543.54,277.18036204
27,27,2020-11-22 05:45,543.54,542.32,543.54,540.2,1273.39103366
28,28,2020-11-22 06:00,541.92,539.41,543.44,539.09,432.34312039
29,29,2020-11-22 06:15,539.39,540.73,541.01,536.52,875.12253673
30,30,2020-11-22 06:30,540.51,541.37,542.16,539.26,187.08986435
31,31,2020-11-22 06:45,541.17,542.15,542.15,541.01865203,127.35261726
32,32,2020-11-22 07:00,541.03,537.32,541.03,537.0,541.12215452
33,33,2020-11-22 07:15,537.4,535.7,539.43,535.7,2875.7698683
34,34,2020-11-22 07:30,535.7,537.96,537.96,532.64335312,3315.01118444
35,35,2020-11-22 07:45,537.97,540.69,541.12,537.55,1750.83287587
